"","Age","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"1",10,0.0899047847015495,0.0796181586716709,0.0693315326417923,0.0870891147180382,0.045394870955142,0.094290593497327,0.107051557037722,0.044140219984435,0.0588989851382392,0.0728218091595349,0.0457925729602809,0.0986278451204322,0.0986278451204322,0.0860116296610652,0.123310485595656,0.0938715996785722,0.064432713761488,0.100854545513156,0.0306030541987526,0.0883086677408087,0.0919778295193646,0.0824761906756031,0.0729745518318417,0.067064772309293,0.077319103585157,0.0642083183390249,0.0836611772503279,0.0619096167679246,0.0610062895369263,0.0478241803378377,0.0463237859574829,0.0386486654899882,0.0309735450224936,0.0273286089133687,0.0236602653712963,0.0254602690984492,0.0234501618239906,0.019891536949294,0.0185811828708089,0.0173571483067674,0.0162137469631397,0.0151456671302522,0.0141479470070614,0.0132159516509382,0.0123453514458855,0.01153210198916,0.0107724253028626,0.0100627922832138,0.00939990630598287,0.00878068791190799,0.00820226050096416,0.00766193696902022,0.00715720722480565,0.00668572652919654,0.00624530460265054,0.00583389545018906,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832,0.00544958785665832
"2",11,0.193573820092602,0.186328754794199,0.179083689495796,0.197900036138846,0.161501371401129,0.175361539091276,0.188595826249813,0.166587508000239,0.173825445886607,0.170573346914138,0.167705079232317,0.166045762606772,0.166045762606772,0.198671466469582,0.196496061050288,0.183822783359027,0.171149505667766,0.138637278721786,0.133384631360954,0.138716078355065,0.138531643060552,0.119051134308122,0.0995706255556922,0.0994459620267975,0.089778690141603,0.0873414007617693,0.0950665458948473,0.0752510050700146,0.0725265595863266,0.0532271359044471,0.0498305136818107,0.0429159772587001,0.0360014408355896,0.0213088752271332,0.0162428000277777,0.0218316446283086,0.0125150581850655,0.0115465147254847,0.0102213141069726,0.00904820758101202,0.00800973921476834,0.00709045650358766,0.00627668043630838,0.00555630195031903,0.00491860174759457,0.00435409079055743,0.00385436910432694,0.00341200078432176,0.00302040334931679,0.00267374979351816,0.00236688188018183,0.00209523338657717,0.00185476215817343,0.0016418899610091,0.00145344923724198,0.00128663597159761,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446,0.00113896796736446
"3",12,0.290632903319375,0.286393795553827,0.28215468778828,0.301381240266331,0.270248943061188,0.259916276714712,0.275640565561202,0.280533489618218,0.282876544604097,0.2686070982203,0.281169025616924,0.24640006969737,0.24640006969737,0.30383696813726,0.276814369337219,0.274239637364451,0.271664905391683,0.192887408632399,0.231376482343704,0.199750777055214,0.196351465055,0.169653254826229,0.142955044597458,0.14688770483954,0.122814314519391,0.129035727071335,0.128057621847568,0.10952697618196,0.104990929198168,0.0810694757231976,0.0763990326689894,0.0690540189274013,0.0617090051858131,0.0397788131894852,0.031030640175497,0.041139160458971,0.0240575415967555,0.0217945256874065,0.0195446717658189,0.0175270707843082,0.0157177472182163,0.0140952005418342,0.0126401497336886,0.0113353041566075,0.0101651580898881,0.00911580647195831,0.00817477966396405,0.00733089527075095,0.00657412525839974,0.00589547678924927,0.00528688535834763,0.00474111896145211,0.0042516921557887,0.00381278899233918,0.00341919390384606,0.0030662297272647,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209,0.00274970212417209
"4",13,0.381040341965005,0.379884328223361,0.378728314481716,0.39754859156934,0.371767594045916,0.346840426802812,0.367020227262158,0.385975719882005,0.386673804897428,0.365755310116267,0.386223029117314,0.339928007782441,0.339928007782441,0.401550762996926,0.363119892332335,0.364632536663989,0.366145180995643,0.263766926772049,0.325037827797764,0.270941523656338,0.264835772928268,0.233860968108622,0.202886163288975,0.209056822891691,0.176523776842101,0.18880952660378,0.182676082289397,0.164609967732879,0.158643043358485,0.131322229588157,0.125765537215966,0.116867801964223,0.10797006671248,0.0825566973754951,0.0678272563091085,0.0831020315828022,0.0580020915501204,0.0499683838937171,0.0459762402315654,0.0423030424663463,0.0389233089286164,0.0358135937659276,0.0329523242945028,0.0303196513454382,0.0278973115672537,0.0256685007295615,0.0236177571489323,0.0217308544282661,0.0199947027655774,0.0183972581475567,0.0169274387979665,0.0155750483012577,0.0143307048681015,0.0131857762521382,0.0121323198664466,0.011163027684313,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635,0.0102711755420635
"5",14,0.464754443612631,0.466486684363482,0.468218925114332,0.486221877367377,0.465593764448833,0.434215327444696,0.459960867934153,0.482726509507306,0.483609930113133,0.460103655890387,0.482594661685851,0.441711910279103,0.441711910279103,0.491541470933389,0.452501635145815,0.453266117947384,0.454030600748954,0.348744089819564,0.413134489519667,0.350300246621814,0.342062084183866,0.309860387058773,0.27765868993368,0.284058499937868,0.25029031621725,0.264417947618727,0.258392743766423,0.23907329936011,0.232967798259735,0.203252358854642,0.198297937665055,0.185972682298251,0.173647426931447,0.149778499761458,0.127808370009298,0.148235358574926,0.115795539656195,0.100241877874442,0.0942162295795819,0.0885527895567856,0.0832297850729079,0.0782267521774714,0.0735244570303169,0.0691048219583345,0.0649508559570049,0.0610465893695687,0.0573770124927017,0.0539280178726699,0.0506863460701258,0.0476395346850408,0.0447758704458052,0.0420843441783046,0.039554608481853,0.037176937949273,0.0349421917781891,0.0328417786297976,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137,0.0308676236000137
"6",15,0.541721254218849,0.546308658362634,0.55089606250642,0.567462276555195,0.551998243611165,0.528612768786768,0.561761253342952,0.570931609714855,0.576626166259614,0.557154250123829,0.570428846208095,0.55377887220463,0.55377887220463,0.573967207001172,0.553094200954884,0.544313406091261,0.535532611227638,0.454030056558411,0.496172627527823,0.444635220327715,0.434742519491972,0.404523197199448,0.374303874906924,0.380421814924748,0.353066077144034,0.366208744964311,0.365922921952167,0.342207710982924,0.337096188878282,0.30676557952028,0.306075873044761,0.28690443611211,0.267732999179459,0.252066468239996,0.219904093275167,0.245192428226315,0.207022978563301,0.186042449859259,0.178108213079286,0.170512351295603,0.163240433676196,0.156278644827295,0.149613758546498,0.143233112695255,0.137124585142987,0.131276570737119,0.125677959255282,0.120318114297803,0.115186853080373,0.110274427088504,0.105571503557031,0.101069147739459,0.0967588059334813,0.0926322892304148,0.088681757957681,0.0848997067847754,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429,0.081278950464429
"7",16,0.61198902626579,0.619363213698977,0.626737401132163,0.641259136684048,0.630942302096505,0.621741936078515,0.659860649045782,0.650564808044043,0.665425512140618,0.650085553433562,0.649711731203162,0.658555682685214,0.658555682685214,0.648813024198704,0.650927121337327,0.630776205499336,0.610625289661346,0.560720994367008,0.574122234939054,0.542673282431624,0.531941655354852,0.506124640352477,0.480307625350103,0.484638897162335,0.466833254087579,0.477956032233027,0.484458434780555,0.45847096810698,0.45380459598764,0.427003797515525,0.42888229181898,0.402837185909142,0.376792079999303,0.371915491948014,0.332345628741252,0.360859756472442,0.319392495563168,0.298017019218695,0.289133107282561,0.280514025494369,0.272151879245555,0.264039009266487,0.256167984610992,0.248531595850016,0.241122848468183,0.233934956457193,0.226961336100216,0.220195599941565,0.21363155093613,0.207263176773232,0.201084644369666,0.195090294526921,0.18927463674766,0.183632344206723,0.178158248872049,0.172847336771041,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035,0.167694743398035
"8",17,0.675669377124892,0.685308174417979,0.694946971711066,0.707490039762058,0.701725961347383,0.70639643746822,0.743890890964881,0.721378014324887,0.742886551402997,0.737149095018946,0.720120243818059,0.737779331597558,0.737779331597558,0.715728505756428,0.733980344345684,0.706335077575129,0.678689810804574,0.657070546438493,0.645282868717709,0.641222280461337,0.630662622204773,0.610514925310136,0.5903672284155,0.595664037509704,0.587498908178277,0.598235689965559,0.6074441833477,0.584380475971389,0.581900980621694,0.563877532962363,0.56329444870169,0.534126033057025,0.504957617412359,0.508563322858309,0.470974849579096,0.498977828785256,0.45888204446464,0.442729933658989,0.434486262106003,0.426396088465643,0.418456554592842,0.410664855561453,0.403018238673311,0.395514002485738,0.388149495857165,0.38092211701052,0.373829312614056,0.366868576879294,0.360037450675766,0.353333520662234,0.346754418434095,0.340297819686654,0.33396144339398,0.327743051003052,0.32164044564291,0.315651471348531,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154,0.309774012299154
"9",18,0.732873924167592,0.745683798118927,0.758493672070262,0.767467146760875,0.766939493646637,0.772939358372532,0.804571274428508,0.785276885869855,0.806717505827433,0.802268561243454,0.783729931334578,0.796812585172609,0.796812585172609,0.776827877324404,0.794443985034676,0.76835874283706,0.742273500639445,0.731321400630203,0.714721635180306,0.724792193653747,0.715932105056149,0.701031285908827,0.686130466761504,0.690071654829264,0.689611452264863,0.69887712397631,0.709455573780003,0.690280028120477,0.689188814089764,0.681699008801288,0.677162413888922,0.650151085422896,0.623139756956871,0.62859254721615,0.601481334391883,0.626322573465668,0.591078223514948,0.58111297728923,0.57462430008874,0.568208075119499,0.561863493383671,0.555589754916648,0.549386068686184,0.543251652492659,0.537185732870453,0.531187544990422,0.525256332563466,0.519391347745168,0.513591851041504,0.5078571112156,0.502186405195536,0.496579017983176,0.491034242564015,0.485551379818035,0.480129738431556,0.47476863481007,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205,0.46946739299205
"10",19,0.783714284765327,0.799119351009489,0.814524417253652,0.819858029201159,0.824069256574335,0.827185012500741,0.851252412243199,0.840297754012485,0.858769507984443,0.854029569551404,0.838447015496568,0.841843720523721,0.841843720523721,0.829986337813394,0.841315413846054,0.820122599186558,0.798929784527063,0.79088655624619,0.777735041640591,0.79620517753819,0.789302226820067,0.778721097314349,0.76813996780863,0.771688153065094,0.775056418014952,0.784772132900831,0.79401558116327,0.778612500529972,0.77806409863621,0.78068209905897,0.772869583404096,0.751189648119017,0.729509712833938,0.731932669150459,0.716489290394433,0.737311960380776,0.707905326723266,0.705425138956494,0.701131881005677,0.696864752069569,0.692623593125484,0.68840824611856,0.684218553955861,0.680054360500531,0.675915510565971,0.671801849910057,0.66771322522939,0.663649484153587,0.659610475239596,0.65559604796606,0.651606052727702,0.64764034082975,0.643698764482399,0.639781176795301,0.63588743177209,0.632017384304943,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172,0.628170890169172
